0	160000
160000	2040000
2040000	3800000
3800000	4160000
4160000	5240000
5240000	6840000
6840000	8000000
8000000	9120000
9120000	10560000
10560000	11600000
11600000	13520000
13520000	14120000
14120000	14480000
14480000	15440000
15440000	16880000
16880000	18840000
18840000	20360000
20360000	22120000
22120000	23400000
23400000	24280000
24280000	26080000
26080000	26480000
26480000	27640000
27640000	28800000
28800000	30240000
30240000	31840000
31840000	33440000
33440000	35000000
35000000	36600000
36600000	38480000
38480000	38600000
38600000	39800000
39800000	40520000
40520000	41080000
41080000	41560000
41560000	42240000
42240000	44200000
44200000	44440000
44440000	45280000
45280000	46680000
46680000	47000000
47000000	47280000
47280000	48320000
48320000	50040000
50040000	50400000
50400000	52200000
52200000	54000000
54000000	54200000
54200000	55200000
55200000	55880000
55880000	57200000
57200000	58880000
58880000	60120000
60120000	61960000
61960000	63240000
63240000	63640000
63640000	64200000
64200000	65960000
65960000	67880000
67880000	68520000
68520000	68920000
68920000	69840000
69840000	70920000
70920000	72520000
72520000	73320000
73320000	75160000
75160000	75640000
75640000	75920000
75920000	77160000
77160000	78240000
78240000	79600000
79600000	81440000
81440000	81920000
81920000	83040000
83040000	84320000
84320000	84880000
84880000	85760000
85760000	87400000
87400000	89000000
89000000	90800000
90800000	92480000
92480000	94160000
94160000	96040000
96040000	96840000
96840000	97280000
97280000	98160000
98160000	99000000
99000000	100720000
100720000	101320000
101320000	102680000
102680000	103040000
103040000	104960000
104960000	105920000
105920000	106160000
106160000	108120000
108120000	109000000
109000000	110160000
110160000	111240000
111240000	112920000
112920000	113080000
113080000	113960000
113960000	115640000
115640000	116840000
116840000	117080000
117080000	117960000
117960000	118320000
118320000	118800000
118800000	119560000
119560000	121520000
121520000	122760000
122760000	123840000
123840000	125360000
125360000	126920000
126920000	127760000
127760000	128320000
128320000	128800000
128800000	130400000
130400000	132200000
132200000	133760000
133760000	134920000
134920000	136880000
136880000	138000000
138000000	139640000
139640000	141280000
141280000	142480000
142480000	144280000
144280000	145000000
145000000	145520000
145520000	146280000
146280000	147680000
147680000	148720000
148720000	150160000
150160000	150280000
150280000	150720000
150720000	152160000
152160000	153920000
153920000	154720000
154720000	156680000
156680000	158320000
158320000	159040000
159040000	159800000
159800000	161120000
161120000	163000000
163000000	164680000
164680000	166360000
166360000	167560000
167560000	168720000
168720000	169560000
169560000	169920000
169920000	171160000
171160000	171280000
171280000	171720000
171720000	173600000
173600000	173760000
173760000	174800000
174800000	176560000
176560000	178120000
178120000	179880000
179880000	181080000
181080000	181560000
181560000	182440000
182440000	183320000
183320000	184520000
184520000	185320000
185320000	187040000
187040000	188400000
188400000	190080000
190080000	191680000
191680000	192720000
192720000	193840000
193840000	194680000
